Wall time,Step,Value
1716403421.306129,657,0.6891193985939026
1716403554.6794782,1314,0.7544727921485901
1716403689.8462756,1971,0.736010730266571
1716403834.2927449,2628,0.789460301399231
1716403965.8946543,3285,0.8052226901054382
1716404098.9252362,3942,0.8474187850952148
1716404232.0176518,4599,0.8687573671340942
1716404363.2917795,5256,0.827133059501648
1716404494.2127979,5913,0.8923935294151306
1716404626.1580017,6570,0.8755173683166504
1716404756.8404555,7227,0.8796849250793457
1716404887.8883367,7884,0.9158496856689453
1716405020.2601247,8541,0.8639214634895325
1716405151.5452406,9198,0.9239982962608337
1716405283.0758379,9855,0.9005816578865051
1716405414.2336326,10512,0.9137064814567566
1716405545.1993241,11169,0.9374242424964905
1716405676.6953638,11826,0.92671138048172
1716405808.2038069,12483,0.89378422498703
1716405939.0016434,13140,0.9363245368003845
1716410815.483754,13797,0.9510748982429504
1716410952.4939036,14454,0.9416823387145996
1716411089.5788317,15111,0.9324654340744019
1716411226.2095392,15768,0.9458469748497009
1716411363.3507535,16425,0.9395726323127747
1716411500.3472807,17082,0.9277147054672241
1716411637.084502,17739,0.9637028574943542
1716411784.921777,18396,0.9644641280174255
1716411922.0262802,19053,0.964623212814331
1716412058.899327,19710,0.9638803005218506
1716412196.156187,20367,0.9654272198677063
1716412333.5410497,21024,0.9645673632621765
1716412470.3955078,21681,0.9647790789604187
1716412607.8389807,22338,0.9662061333656311
1716412744.6560118,22995,0.9657607674598694
1716412881.6974158,23652,0.9648742079734802
1716413018.9315226,24309,0.9664356112480164
1716413156.1452491,24966,0.966969907283783
1716413293.1000745,25623,0.9662309885025024
1716413430.8818767,26280,0.9662222266197205
1716413568.6075993,26937,0.9651805758476257
1716413705.352021,27594,0.9667181968688965
1716413842.4768496,28251,0.9664099216461182
