Wall time,Step,Value
1716381098.7189407,657,0.5948262214660645
1716381235.342174,1314,0.6823890805244446
1716381372.2636862,1971,0.7246178388595581
1716381509.8593814,2628,0.7487246990203857
1716381646.934991,3285,0.8025069832801819
1716381783.7296157,3942,0.8317831158638
1716381921.1677287,4599,0.7933184504508972
1716382058.0939848,5256,0.8678487539291382
1716382195.2838604,5913,0.8631634712219238
1716382332.5791783,6570,0.8828198313713074
1716382469.48964,7227,0.8851426243782043
1716382606.0713305,7884,0.8959594964981079
1716382743.4715228,8541,0.902877688407898
1716382880.5016205,9198,0.9211834669113159
1716383017.7536623,9855,0.9240010976791382
1716383155.2299757,10512,0.898793637752533
1716383292.2544146,11169,0.9239972829818726
1716383429.4069474,11826,0.9209208488464355
1716383566.738763,12483,0.9195072054862976
1716383703.5419402,13140,0.9394453763961792
1716383841.2704682,13797,0.9373365640640259
1716383978.5690463,14454,0.9310969114303589
1716384115.2125952,15111,0.9465106129646301
1716384252.5234132,15768,0.9431031942367554
1716384390.378772,16425,0.9441630244255066
1716384527.495759,17082,0.9468317627906799
1716384664.8161778,17739,0.9346843361854553
1716384802.5130758,18396,0.9317839741706848
1716384939.2629232,19053,0.9542890787124634
1716385076.274557,19710,0.9542765021324158
1716385213.4163086,20367,0.9511194825172424
1716385350.5302627,21024,0.9572820067405701
1716385487.846746,21681,0.9570963978767395
1716385625.5132763,22338,0.9508217573165894
1716385762.1358125,22995,0.9445527195930481
1716385898.9210668,23652,0.9565856456756592
1716386036.2573953,24309,0.9613067507743835
1716386173.4692032,24966,0.9548114538192749
1716386310.7486625,25623,0.9624162912368774
1716386448.206418,26280,0.9617652297019958
1716386586.4054937,26937,0.9656065702438354
1716386723.7879703,27594,0.9626902341842651
1716386861.499989,28251,0.9645164012908936
1716386998.3809586,28908,0.9591175317764282
1716387135.686992,29565,0.9582983255386353
1716387272.9255633,30222,0.9629001617431641
1716387409.653197,30879,0.9708776473999023
1716387546.5954247,31536,0.9709429144859314
1716387683.730472,32193,0.971737265586853
1716387820.723802,32850,0.9714937210083008
1716387958.1664965,33507,0.9723078608512878
1716388095.6283522,34164,0.9707619547843933
1716388232.3930142,34821,0.9713635444641113
1716388369.4437962,35478,0.9716079831123352
1716388506.7616038,36135,0.971279501914978
1716388643.7127492,36792,0.971579372882843
1716388780.7020457,37449,0.9712487459182739
1716388918.4986124,38106,0.9724698662757874
1716389055.2958238,38763,0.9718727469444275
1716389192.1486108,39420,0.9721571207046509
1716389329.920827,40077,0.9722267985343933
1716389466.6639912,40734,0.9715229272842407
1716389604.1716363,41391,0.9715359210968018
